S1902: MEAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-2015 American Community Survey 5-Year Estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  With Social Security income,,,26.3%,,,+/-6.1,"14,872","+/-2,433",26.3%,+/-4.2,"18,451","+/-2,377",28.1%,+/-5.5,"14,539","+/-2,935",20.5%,+/-4.5,"21,296","+/-4,083",29.6%,+/-5.3,"20,699","+/-2,121",29.2%,+/-5.0,"12,948","+/-1,540",29.8%,+/-7.4,"10,778","+/-1,239",26.9%,+/-6.5,"14,179","+/-2,042",17.5%,+/-4.3,"13,921","+/-3,631",18.6%,+/-4.2,"11,166","+/-3,355",18.3%,+/-4.7,"15,510","+/-2,657",29.2%,+/-5.5,"21,783","+/-2,024",37.6%,+/-8.3,"12,362","+/-1,593",14.2%,+/-6.8,"9,628","+/-4,886",30.6%,+/-7.2,"10,327","+/-2,342",21.1%,+/-6.7,"19,493","+/-4,000",18.4%,+/-4.8,"14,454","+/-2,481",14.4%,+/-5.4,"9,990","+/-2,295",13.5%,+/-5.3,"15,860","+/-2,576",15.9%,+/-6.2,"15,925","+/-3,589",17.4%,+/-6.1,"11,051","+/-2,391",33.8%,+/-7.2,"11,584","+/-1,887",13.1%,+/-4.8,"13,599","+/-1,758",18.0%,+/-5.5,"10,316",+/-968,16.5%,+/-6.1,"12,616","+/-1,659",29.6%,+/-6.7,"13,194","+/-1,801",35.1%,+/-9.3,"9,760","+/-1,368",9.8%,+/-2.5,"20,167","+/-2,929",11.7%,+/-3.8,"20,509","+/-3,712"
  With Supplemental Security Income (SSI),,,19.5%,,,+/-6.7,"9,389","+/-1,356",2.1%,+/-2.1,"10,351","+/-2,103",5.5%,+/-3.1,"6,961","+/-1,933",1.1%,+/-1.4,N,N,2.7%,+/-2.6,"12,705","+/-8,183",14.4%,+/-5.5,"10,409","+/-2,342",21.3%,+/-5.0,"10,991","+/-1,708",7.2%,+/-2.7,"8,419","+/-2,410",3.9%,+/-3.0,"7,960","+/-2,771",1.0%,+/-1.3,N,N,9.2%,+/-4.8,"10,736",+/-600,6.7%,+/-4.0,"7,488",+/-948,23.5%,+/-6.9,"8,674","+/-1,380",7.1%,+/-4.1,"10,789",+/-554,20.9%,+/-7.0,"8,136","+/-1,600",2.3%,+/-2.7,N,N,3.4%,+/-2.8,"7,098","+/-2,917",3.7%,+/-2.2,"9,320","+/-2,066",4.3%,+/-3.1,"15,730","+/-3,538",16.0%,+/-6.3,"10,588","+/-1,595",9.6%,+/-4.6,"9,709","+/-2,716",25.6%,+/-8.4,"9,618","+/-1,237",9.7%,+/-3.7,"9,641","+/-1,297",18.3%,+/-5.8,"8,530","+/-1,390",15.1%,+/-5.3,"11,226","+/-1,053",35.7%,+/-11.4,"9,618","+/-1,193",36.7%,+/-9.5,"9,128","+/-1,035",0.6%,+/-0.9,N,N,0.6%,+/-0.9,N,N
  With cash public assistance income,,,3.0%,,,+/-3.7,N,N,0.5%,+/-0.8,N,N,1.8%,+/-1.8,N,N,0.6%,+/-0.9,N,N,0.0%,+/-2.0,-,**,3.0%,+/-3.1,"8,404","+/-4,659",5.7%,+/-3.9,"4,746","+/-1,889",3.1%,+/-3.3,814,+/-341,2.9%,+/-2.7,"4,817","+/-4,702",2.3%,+/-2.4,"3,873","+/-2,161",0.4%,+/-0.7,N,N,1.8%,+/-2.4,N,N,3.5%,+/-2.9,"5,583","+/-2,478",12.7%,+/-6.2,"4,292","+/-1,742",8.0%,+/-5.8,"2,250",+/-574,0.0%,+/-2.1,-,**,0.4%,+/-0.7,N,N,7.0%,+/-3.7,"6,756","+/-3,691",0.8%,+/-1.3,N,N,13.4%,+/-7.1,"5,568","+/-1,921",2.2%,+/-1.9,"2,620","+/-1,882",4.0%,+/-3.6,"4,277","+/-3,553",8.2%,+/-4.0,"4,343","+/-1,695",7.5%,+/-4.6,"2,121","+/-1,604",5.7%,+/-4.9,"1,450",+/-861,5.1%,+/-4.5,"6,357","+/-1,744",11.7%,+/-5.9,"6,033","+/-2,172",0.0%,+/-2.1,-,**,0.0%,+/-1.9,-,**
  With retirement income,,,13.6%,,,+/-5.0,"18,043","+/-8,574",14.3%,+/-4.0,"36,580","+/-16,202",6.6%,+/-3.4,"29,063","+/-10,750",12.9%,+/-3.5,"39,094","+/-13,812",15.0%,+/-4.2,"36,770","+/-14,787",8.2%,+/-3.6,"14,453","+/-3,315",8.4%,+/-4.0,"12,986","+/-4,754",11.1%,+/-4.7,"25,848","+/-5,972",8.3%,+/-3.3,"36,190","+/-17,733",6.4%,+/-3.2,"15,241","+/-8,034",5.1%,+/-3.4,"12,538","+/-4,369",12.3%,+/-4.5,"34,246","+/-10,843",6.7%,+/-3.1,"16,797","+/-9,356",1.0%,+/-1.5,N,N,6.0%,+/-4.0,"8,126","+/-2,729",9.9%,+/-3.7,"19,936","+/-8,201",5.0%,+/-2.8,"16,071","+/-11,214",6.3%,+/-2.9,"27,991","+/-14,078",6.3%,+/-4.2,"29,364","+/-21,512",3.7%,+/-1.7,"16,534","+/-4,618",3.9%,+/-2.9,"7,214","+/-2,878",5.2%,+/-3.6,"8,443","+/-3,009",4.3%,+/-2.3,"12,844","+/-5,900",2.2%,+/-1.8,"14,691","+/-9,983",5.0%,+/-3.8,"12,263","+/-5,177",5.7%,+/-3.5,"10,835","+/-5,066",4.4%,+/-4.1,"13,997","+/-7,659",9.8%,+/-3.2,"27,807","+/-15,612",9.3%,+/-4.1,"17,628","+/-9,985"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  All families,,,731,,,+/-134,"127,871","+/-46,352",692,+/-154,"315,604","+/-75,879",876,+/-199,"125,685","+/-26,069",851,+/-183,"190,025","+/-53,448",581,+/-103,"222,298","+/-49,223",735,+/-141,"65,929","+/-12,328","1,156",+/-174,"45,871","+/-12,324",833,+/-155,"136,437","+/-38,449",625,+/-149,"221,865","+/-50,020",924,+/-173,"140,493","+/-24,605",642,+/-159,"113,035","+/-18,588",656,+/-111,"298,814","+/-217,986",732,+/-120,"68,166","+/-23,510",269,+/-80,"99,799","+/-54,157",396,+/-64,"40,995","+/-8,726",276,+/-71,"173,566","+/-47,010",233,+/-62,"71,357","+/-25,471",546,+/-163,"77,849","+/-27,437",374,+/-124,"67,256","+/-22,168",709,+/-172,"66,670","+/-19,729",403,+/-118,"45,679","+/-11,047",284,+/-104,"27,127","+/-6,741",234,+/-79,"65,928","+/-26,214",707,+/-227,"37,767","+/-8,318",467,+/-163,"78,728","+/-34,829",681,+/-130,"36,642","+/-10,374",484,+/-155,"39,729","+/-10,999",356,+/-101,"226,439","+/-46,577",619,+/-151,"241,425","+/-50,327"
    No workers,,,9.3%,,,+/-5.7,N,N,23.4%,+/-10.2,N,N,7.5%,+/-6.2,"152,988","+/-94,082",14.0%,+/-6.8,N,N,12.6%,+/-6.0,"199,882","+/-163,357",16.9%,+/-8.4,N,N,28.0%,+/-9.2,N,N,17.8%,+/-9.2,"220,383","+/-221,884",13.0%,+/-9.7,N,N,7.7%,+/-5.7,N,N,6.5%,+/-9.3,N,N,16.3%,+/-7.2,"70,071","+/-64,748",41.0%,+/-11.3,"24,330","+/-7,934",11.2%,+/-9.4,N,N,22.0%,+/-11.2,N,N,18.8%,+/-12.1,N,N,21.0%,+/-11.3,N,N,18.3%,+/-8.4,N,N,15.2%,+/-12.9,N,N,15.7%,+/-11.6,N,N,12.4%,+/-8.6,N,N,42.6%,+/-20.0,N,N,0.0%,+/-12.9,-,**,9.1%,+/-9.0,N,N,15.4%,+/-12.1,N,N,15.1%,+/-12.8,N,N,34.3%,+/-16.7,N,N,3.7%,+/-5.3,N,N,1.6%,+/-2.6,N,N
    1 worker,,,42.7%,,,+/-13.6,N,N,32.5%,+/-11.6,N,N,41.7%,+/-15.1,"98,412","+/-44,962",39.1%,+/-11.2,N,N,33.0%,+/-13.3,"166,448","+/-73,886",32.0%,+/-12.7,N,N,27.7%,+/-10.4,N,N,28.9%,+/-11.9,"91,422","+/-32,926",33.4%,+/-14.4,N,N,24.6%,+/-14.8,N,N,26.3%,+/-15.7,N,N,35.1%,+/-9.7,"215,144","+/-136,744",26.1%,+/-9.9,"55,150","+/-25,691",36.4%,+/-16.8,N,N,36.9%,+/-11.6,N,N,31.5%,+/-15.1,N,N,28.3%,+/-19.9,N,N,25.6%,+/-15.4,N,N,31.8%,+/-16.5,N,N,33.1%,+/-18.5,N,N,65.5%,+/-16.2,N,N,28.2%,+/-18.3,N,N,61.5%,+/-21.2,"29,944","+/-5,061",52.2%,+/-18.9,N,N,33.6%,+/-19.7,N,N,54.5%,+/-21.3,N,N,25.4%,+/-14.5,N,N,35.1%,+/-16.3,N,N,42.2%,+/-13.9,N,N
"    2 workers, husband and wife worked",,,30.9%,,,+/-11.4,N,N,37.0%,+/-11.7,N,N,44.5%,+/-13.7,"157,416","+/-44,167",39.8%,+/-12.7,N,N,54.4%,+/-13.5,"261,411","+/-59,917",28.7%,+/-9.3,N,N,27.3%,+/-10.2,N,N,31.9%,+/-8.9,"163,848","+/-39,880",47.4%,+/-15.1,N,N,48.4%,+/-11.9,N,N,44.1%,+/-15.8,N,N,37.3%,+/-11.0,"539,653","+/-472,353",25.0%,+/-7.9,"144,973","+/-77,601",36.1%,+/-15.9,N,N,15.9%,+/-9.3,N,N,44.2%,+/-13.3,N,N,21.0%,+/-17.8,N,N,46.2%,+/-18.0,N,N,45.5%,+/-17.3,N,N,29.8%,+/-13.7,N,N,12.9%,+/-11.5,N,N,10.9%,+/-11.1,N,N,38.5%,+/-21.2,"123,503","+/-39,339",19.9%,+/-12.9,N,N,40.7%,+/-24.9,N,N,16.3%,+/-19.4,N,N,8.9%,+/-8.6,N,N,55.6%,+/-15.3,N,N,42.0%,+/-14.1,N,N
"    2 workers, other",,,12.2%,,,+/-7.8,N,N,3.6%,+/-4.5,N,N,6.3%,+/-5.2,"48,905","+/-12,966",1.6%,+/-2.8,N,N,0.0%,+/-5.4,-,**,13.3%,+/-10.3,N,N,9.4%,+/-6.7,N,N,6.7%,+/-6.3,"53,584","+/-21,450",0.0%,+/-5.1,N,N,9.0%,+/-9.3,N,N,17.3%,+/-15.1,N,N,11.3%,+/-7.4,"92,250","+/-60,640",4.1%,+/-3.8,"107,583","+/-83,961",10.4%,+/-9.4,N,N,14.6%,+/-7.3,N,N,3.3%,+/-4.8,N,N,10.3%,+/-13.3,N,N,9.9%,+/-12.9,N,N,0.0%,+/-8.3,N,N,14.7%,+/-13.0,N,N,9.2%,+/-14.1,N,N,9.9%,+/-7.4,N,N,0.0%,+/-12.9,-,**,11.9%,+/-8.9,N,N,0.0%,+/-6.7,N,N,8.5%,+/-10.5,N,N,11.4%,+/-13.3,N,N,5.6%,+/-6.9,N,N,7.3%,+/-6.9,N,N
"    3 or more workers, husband and wife worked",,,3.6%,,,+/-4.0,N,N,3.5%,+/-5.8,N,N,0.0%,+/-3.6,-,**,4.0%,+/-5.0,N,N,0.0%,+/-5.4,-,**,6.0%,+/-5.2,N,N,1.7%,+/-2.8,N,N,14.6%,+/-10.4,"101,789","+/-49,477",6.2%,+/-7.4,N,N,1.8%,+/-3.5,N,N,3.0%,+/-4.6,N,N,0.0%,+/-4.8,-,**,0.0%,+/-4.3,-,**,3.3%,+/-5.0,N,N,7.3%,+/-4.9,N,N,2.2%,+/-4.5,N,N,9.9%,+/-14.1,N,N,0.0%,+/-5.8,N,N,0.0%,+/-8.3,N,N,3.9%,+/-6.4,N,N,0.0%,+/-7.7,N,N,8.5%,+/-13.3,N,N,0.0%,+/-12.9,-,**,5.1%,+/-8.1,N,N,0.2%,+/-5.0,N,N,2.8%,+/-4.4,N,N,8.5%,+/-12.5,N,N,0.0%,+/-8.7,N,N,6.9%,+/-7.0,N,N
"    3 or more workers, other",,,1.4%,,,+/-2.6,N,N,0.0%,+/-4.6,N,N,0.0%,+/-3.6,-,**,1.4%,+/-2.3,N,N,0.0%,+/-5.4,-,**,3.1%,+/-3.8,N,N,5.8%,+/-4.5,N,N,0.0%,+/-3.8,-,**,0.0%,+/-5.1,N,N,8.5%,+/-9.5,N,N,2.8%,+/-5.0,N,N,0.0%,+/-4.8,-,**,3.8%,+/-3.7,"82,396","+/-42,943",2.6%,+/-4.5,N,N,3.3%,+/-5.0,N,N,0.0%,+/-11.1,N,N,9.4%,+/-12.6,N,N,0.0%,+/-5.8,N,N,7.5%,+/-11.1,N,N,2.8%,+/-3.5,N,N,0.0%,+/-7.7,N,N,0.0%,+/-10.8,N,N,0.0%,+/-12.9,-,**,1.8%,+/-2.8,N,N,10.1%,+/-14.9,N,N,2.8%,+/-4.6,N,N,11.6%,+/-12.4,N,N,0.0%,+/-8.7,N,N,0.0%,+/-5.1,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total population,,,"3,798",,,+/-357,"52,505","+/-10,569","4,172",+/-358,"117,854","+/-13,392","4,387",+/-527,"67,522","+/-21,124","5,148",+/-493,"77,497","+/-13,346","2,589",+/-296,"92,532","+/-14,043","3,604",+/-424,"39,373","+/-6,846","5,302",+/-531,"23,572","+/-3,890","5,065",+/-436,"56,807","+/-7,694","4,535",+/-285,"92,372","+/-11,927","5,085",+/-591,"72,653","+/-9,111","4,940",+/-366,"57,668","+/-6,307","3,281",+/-263,"104,495","+/-46,170","2,885",+/-237,"37,496","+/-8,291","1,635",+/-221,"54,568","+/-14,706","1,622",+/-142,"20,942","+/-5,010","2,561",+/-233,"59,356","+/-6,814","2,786",+/-234,"57,656","+/-8,407","3,776",+/-342,"35,597","+/-6,139","3,973",+/-299,"40,656","+/-8,499","4,845",+/-423,"31,203","+/-5,577","3,295",+/-561,"28,776","+/-6,464","1,996",+/-338,"15,497","+/-2,712","2,468",+/-279,"40,838","+/-7,531","4,787",+/-573,"17,535","+/-3,626","3,600",+/-398,"41,234","+/-7,009","3,728",+/-339,"14,930","+/-2,724","4,101",+/-659,"13,140","+/-1,777","2,334",+/-207,"92,279","+/-10,292","2,943",+/-285,"97,012","+/-13,339"
    One race--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      White,,,55.9%,,,+/-4.8,"68,257","+/-19,115",84.4%,+/-4.6,"129,428","+/-17,655",56.7%,+/-8.4,"99,159","+/-35,765",60.9%,+/-7.4,"91,600","+/-23,210",55.0%,+/-8.3,"115,691","+/-17,000",34.5%,+/-5.2,"76,845","+/-15,371",23.5%,+/-4.7,"53,206","+/-14,666",46.1%,+/-6.5,"80,612","+/-15,729",68.5%,+/-5.8,"103,894","+/-16,551",47.6%,+/-4.2,"103,407","+/-18,037",63.6%,+/-7.8,"62,338","+/-7,107",56.2%,+/-5.8,"159,224","+/-77,512",19.7%,+/-6.1,"88,117","+/-30,423",37.2%,+/-7.1,"93,346","+/-36,563",10.7%,+/-4.5,"70,575","+/-51,447",58.5%,+/-5.9,"67,857","+/-10,410",55.6%,+/-5.6,"57,705","+/-10,650",48.0%,+/-8.6,"46,786","+/-6,794",58.9%,+/-6.5,"43,854","+/-7,586",43.3%,+/-7.9,"44,243","+/-10,009",47.3%,+/-11.1,"37,435","+/-11,888",49.6%,+/-11.6,"16,736","+/-4,285",45.1%,+/-7.3,"46,000","+/-8,976",48.2%,+/-9.9,"17,004","+/-4,342",44.3%,+/-8.3,"45,783","+/-11,513",35.0%,+/-8.5,"21,815","+/-5,363",27.3%,+/-9.9,"14,738","+/-2,717",85.9%,+/-4.9,"98,520","+/-12,070",86.0%,+/-4.9,"93,257","+/-12,834"
